ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Kurmuk,ET060302,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1256.679688
Assosa,ET060303,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2906.290527
Sherkole,ET060304,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1860.219238
Bambasi,ET060305,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1488.265503
Bilidigilu,ET060306,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1705.050781
Homosha,ET060307,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,704.8758545
Undulu,ET060308,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,462.1669312
Assosa town Administration,ET060309,Assosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,14.510746
Kamashi town,ET060400,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,27.93795204
Zayi,ET060401,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2628.489258
Sedal,ET060402,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2455.769531
Kamashi,ET060403,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1484.523071
Dembe,ET060404,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1800.173828
Mizyiga,ET060405,Kamashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1702.720825
Maokomo Special,ET060508,Mao Komo Special,ET0605,Benishangul Gumz,ET06,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3181.421631
Kebena,ET070101,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,235.9830627
Abeshege,ET070102,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,522.2106934
Ezha,ET070103,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,334.6108093
Gedebano Gutazer Welene,ET070104,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,483.5194397
Sodo,ET070105,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,553.5422974
Meskan,ET070106,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,331.0588684
Mareko,ET070107,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,300.4542542
Endiguagn,ET070108,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,151.2174835
Gumer,ET070109,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,233.1632843
Cheha,ET070110,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,559.8401489
Enemor Ener,ET070111,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,574.321106
Muhur Na Aklil,ET070112,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,473.1741638
Geta,ET070113,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,200.2344055
Welkite town,ET070114,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,10.29954433
Butajira town,ET070115,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,16.13743782
Emdebir town,ET070116,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,7.301517487
Bui town,ET070117,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.512666464
Misrak Meskan,ET070118,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,108.3227158
Debub Sodo,ET070119,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,277.2573547
Enor Ener,ET070120,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,334.2649231
Misha,ET070201,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,175.0458069
Gombora,ET070202,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,462.6679077
Lemmo,ET070203,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,354.5136719
Shashogo,ET070204,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,355.8088379
Misrak Badawacho,ET070205,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,239.1786041
Soro,ET070206,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,499.34021
Duna,ET070207,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,222.5305176
Analemmo,ET070208,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,224.2525024
Mirab Badowach,ET070209,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,150.5182495
Gibe,ET070210,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,447.9519043
Hosaena town,ET070211,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,40.48583603
Shone Town,ET070212,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,8.169015884
Gimbichu town,ET070213,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2.280848742
Jajura town,ET070214,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.284802198
Ameka,ET070215,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,188.0583344
Siraro Badawacho,ET070216,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,50.42614746
Mirab Soro,ET070217,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,226.1563721
Tembaro,ET070301,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,339.6454468
Angacha,ET070302,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,153.1386871
Kediada Gambela,ET070303,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,97.30283356
Kacha Bira,ET070304,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,183.3128357
Hadero Tunto,ET070305,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,175.706955
Doyogena,ET070306,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,130.6205292
Damboya,ET070307,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,163.1965942
Durame town,ET070308,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,13.58883953
Adilo,ET070309,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,79.20140839
Shinshincho town,ET070310,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,5.953378677
Hadero town,ET070312,Kembata Tembaro,ET0703,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,14.64816856
Wenago,ET070501,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,138.3727722
Yirgachefe,ET070502,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,245.4781494
Kochere,ET070503,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,153.8770905
Bule,ET070504,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,126.3104858
Dila Zuria,ET070505,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,125.0627289
Gedeb,ET070506,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,189.9692841
Dila town,ET070507,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,14.24428368
Chelelektu town,ET070508,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1.598288417
Rape,ET070509,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,167.3054504
Churso,ET070510,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,178.5754852
Gedeb town,ET070511,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,18.38667107
Yirgachefe town,ET070512,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2.205947161
Boloso Sore,ET070601,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,288.2875977
Damot Gale,ET070602,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,241.9629974
Damot Woide,ET070603,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,215.7792969
Humbo,ET070604,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,323.3022156
Sodo Zuria,ET070605,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,366.3153992
Kindo Koyesha,ET070606,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,516.8269653
Ofa,ET070607,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,310.5051575
Boloso Bombe,ET070608,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,272.2659302
Damot Sore,ET070609,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,176.306778
Kindo Daddaye,ET070610,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,271.6794128
Damot Pullasa,ET070611,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,165.0995178
Duguna Fango,ET070612,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,420.04599
Sodo Town,ET070613,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,25.62497902
Areka town,ET070614,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,14.87053204
Boditi town,ET070615,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,13.68677235
Tebela town,ET070616,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.428792238
Gesuba town,ET070617,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,6.27208662
Gununo Hamus town,ET070618,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,4.658184052
Hobicha Abaya,ET070619,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,443.4957886
Kawo Koisha,ET070620,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,163.4176636
Abela Abaya,ET070621,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,204.8816986
Bayera Koisha,ET070622,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,61.72062302
Salamago,ET070701,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,4571.868652
South Ari,ET070702,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1637.964355
North Ari,ET070703,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,280.9881897
Hamer,ET070704,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,5895.656738
Bena Tsemay,ET070705,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3603.640869
Dasenech /Kuraz,ET070706,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2584.64209
Malie,ET070707,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1431.239868
Nyngatom,ET070708,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2807.671875
Jinka town,ET070709,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,8.885813713
Boko Dawula,ET070710,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,246.8533325
Wub Ari,ET070711,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,148.0221863
Selamber town,ET071003,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.427804947
Boreda,ET071004,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,464.231781
Mirab Abaya,ET071005,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,801.3990479
Chencha Zuriya,ET071006,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,290.2261658
Ezo /Kogota,ET071007,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,78.48465729
Dita,ET071008,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,283.273468
Daramalo,ET071009,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,361.9542542
Chencha,ET071010,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,4.873825073
Kemba,ET071011,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,673.602356
Kemba town,ET071012,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2.412834644
Gerese,ET071013,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,666.0724487
Bonke,ET071014,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,126.2094116
Arba Minch Zuria,ET071015,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1490.13562
Gacho Baba,ET071016,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,261.2992859
Kucha Alpha,ET071017,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,401.2664185
Garda Marta,ET071018,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,485.2443848
Kucha,ET071019,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,987.1849365
Arba Minch town,ET071021,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,33.36981201
Alle Special,ET071205,Alle,ET0712,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,787.8191528
Karat town,ET071301,Konso,ET0713,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2.865514517
Segen Zuria,ET071302,Konso,ET0713,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,374.6367493
Karat Zuria,ET071303,Konso,ET0713,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,998.0687256
Kena,ET071304,Konso,ET0713,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,962.1949463
Kulito town,ET071401,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,9.840930939
Wera,ET071402,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,318.6682129
Atote Ulo,ET071403,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,148.0171204
Wera Djo,ET071404,Halaba,ET0714,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,501.0808105
Melekoza,ET071501,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,942.8942261
Denba Gofa,ET071502,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,795.2331543
Zala,ET071503,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,730.2122803
Uba Debre Tsehay,ET071504,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,753.892334
Gezei Gofa,ET071505,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,518.7452393
O'yida,ET071506,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,174.7502899
Sawla town,ET071507,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,16.72919083
Bulike town,ET071508,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,7.435739994
Melo Gada,ET071509,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,608.2672729
Basketo SP Woreda,ET071601,Basketo,ET0716,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,410.6768494
Alicho Woriro,ET072001,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,262.6621704
Siltie,ET072002,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,337.1117554
Lanfero,ET072003,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,229.5270386
Mierab Azenet Berbere,ET072004,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,153.1689453
Dalocha,ET072005,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,301.2772827
Sankura,ET072006,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,277.1839905
Misrak Azenet Berbere,ET072007,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,167.9806213
Wulbareg,ET072008,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,397.9953003
Tora town,ET072009,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,25.46839523
Worabe town,ET072010,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,126.2677689
Kibet town,ET072011,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,48.14937592
Mito,ET072012,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,205.8726044
Misrak Siltie,ET072013,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,114.2165527
Amaro,ET072102,Amaro,ET0721,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1625.154907
Burji Special,ET072203,Burji,ET0722,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1377.010742
Derashe Special,ET072304,Derashe,ET0723,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,699.3834229
Yem SP Woreda,ET072401,Yem Special,ET0724,SNNP,ET07,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,764.1491699
Anderacha,ET110101,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,755.6820068
Masha,ET110102,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1008.420288
Yeki,ET110103,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,562.2928467
Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,13.71144009
Masha town,ET110105,Sheka,ET1101,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1.003100157
Saylem,ET110201,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,781.2476807
Gesha,ET110202,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,727.8314819
Gewata,ET110203,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,953.5585938
Gimbo,ET110204,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,780.3662109
Adiyio,ET110205,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1011.243164
Tullo,ET110206,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,481.8370361
Cheta,ET110207,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,685.1403198
Decha,ET110208,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1074.612671
Chena,ET110209,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,493.5153198
Bita,ET110210,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1086.694458
Bonga town,ET110211,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,13.67215538
Goba (SP),ET110212,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1879.096191
Shisho Ande,ET110213,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,556.3021851
Wacha,ET110214,Kefa,ET1102,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,6.368731022
Sheko,ET110301,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,489.1907654
Gurafereda,ET110302,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2529.503418
Debub Bench,ET110303,Bench Sheko,ET1103,South West Ethiopia,ET11,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,623.4899902
